cell_status,valley_edge_flag_v1,n,ratio_in_status
absence,0,8035,0.9627366403067338
absence,1,311,0.03726335969326623
no_data,0,104397,0.9733441485791005
no_data,1,2859,0.026655851420899532
presence,0,346,0.9427792915531336
presence,1,21,0.05722070844686648
