cell_status,valley_bottom_flag_v2,n,ratio_in_status
absence,0,8042,0.9635753654445243
absence,1,304,0.03642463455547568
no_data,0,103143,0.9616524949653166
no_data,1,4113,0.03834750503468337
presence,0,363,0.989100817438692
presence,1,4,0.010899182561307902
