cell_status,valley_bottom_flag_v1,n,ratio_in_status
absence,0,7980,0.9561466570812365
absence,1,366,0.04385334291876348
no_data,0,101816,0.9492802267472216
no_data,1,5440,0.0507197732527784
presence,0,363,0.989100817438692
presence,1,4,0.010899182561307902
