cell_status,valley_edge_flag_v2,n,ratio_in_status
absence,0,8134,0.9745986101126288
absence,1,212,0.025401389887371197
no_data,0,105018,0.9791340344596107
no_data,1,2238,0.020865965540389348
presence,0,346,0.9427792915531336
presence,1,21,0.05722070844686648
