layer,n,n_positive,min,q25,median,q75,q95,max
source_seed_strength,219264,519,0,0,0,0,0,1
open_source_strength,219264,424,0,0,0,0,0,1
supported_density_score,219264,1591,0,0,0,0,0,1
absence_evidence,219264,19925,0,0,0,0,0.7477379748751982,1
absence_continuity_score,219264,26713,0,0,0,0,0.09644670050761421,1
absence_barrier_strength,219264,26713,0,0,0,0,0.5070544501049391,1
directional_normalized_cost,3115,2691,0,0.24665062915227567,0.585505019004228,0.8084679039747769,0.9618140404823428,0.9995064875838701
directional_source_strength,3115,3115,1,1,1,1,1,1
directional_source_range_m,3115,3115,120,120,120,120,120,120
cluster_continuity_score_no_data_only,2769,2769,2.4355450487440864e-7,0.0321957933376167,0.15646467941725514,0.46179678864443086,1,1
isolated_dwelling_signal,219264,3801,0,0,0,0,0,1
