macro_cluster_id,micro_group_ids,n_micro_groups,n_dwellings,n_dense_micro_groups,n_intermediate_micro_groups,n_small_micro_groups,macro_group_type,selected_eps_m,selected_min_pts,selected_d_adj_m,selected_d_adj_safe_m,macro_hull_buffer_m,macro_link_max_boundary_distance_m,macro_nearest_dwelling_link_m,macro_corridor_width_m,nearest_macro_distance_m,isolation_ring_inner_m,isolation_ring_outer_m,context_area_m2,surveyed_area_m2,absence_area_m2,no_data_area_m2,surveyed_ratio,absence_ratio_in_surveyed,no_data_ratio,small_size_factor,spacing_factor,absence_enclosure_factor,surveyed_coverage_factor,isolation_score,size_support_factor,macro_structure_bonus,cluster_support,isolated_dwelling_weight
M108,N77,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,9.484211727398748,9.745013346067434,50,8816.690741786777,768.5985168260745,356.50433435257986,7135.944937659575,0.08717539713435742,0.4638368752320308,0.8093677261286603,1,0.32441247609052165,0.4638368752320308,0.08717539713435742,0.013117671610752824,0,0,0,0.013117671610752824
M109,N78,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,9.484211727398748,9.745013346067434,50,8816.69074178906,770.4550276055874,291.8485869329322,7165.00647965392,0.08738596488973012,0.3788002887591459,0.8126639222688689,1,0.32441247609052165,0.3788002887591459,0.08738596488973012,0.010738646222632544,0,0,0,0.010738646222632544
M11,N121,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,15.72462625623832,9.745013346067434,50,8816.690741786919,2388.2770698784293,2206.6294563962642,6028.181523974591,0.27088134764205035,0.923941984883935,0.6837238256984425,1,0.5378691541277344,0.923941984883935,0.27088134764205035,0.1346171657762662,0,0,0,0.1346171657762662
M110,N79,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,9.585626846573582,9.745013346067434,50,8816.690741789134,998.0666386957132,476.70725083645993,6820.35894473563,0.11320195614496281,0.47763068351771315,0.7735735713637613,1,0.3278814338563503,0.47763068351771315,0.11320195614496281,0.017728131961477798,0,0,0,0.017728131961477798
M111,N80,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,10.322168778803103,9.745013346067434,50,8816.690741787183,603.1568042590669,367.37747793480537,7538.090257941901,0.06841079288404352,0.609091160608063,0.8549795471689524,1,0.3530752400309634,0.609091160608063,0.06841079288404352,0.014712083592659643,0,0,0,0.014712083592659643
M112,N81,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,5.597649420809595,9.745013346067434,50,8816.6907417873,595.8282669826493,104.33008573581249,6648.526475062762,0.06757958109596393,0.1751009334688893,0.7540841195156843,1,0.19147055771071217,0.1751009334688893,0.06757958109596393,0.00226571854303159,0,0,0,0.00226571854303159
M113,N82,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,5.597649420809595,9.745013346067434,50,8816.690741789265,647.0894839065543,155.57375661681067,6602.922362959205,0.07339369190295922,0.24042077716607888,0.7489116445542019,1,0.19147055771071217,0.24042077716607888,0.07339369190295922,0.0033785685374426756,0,0,0,0.0033785685374426756
M114,N83,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,4.3188652684694855,9.745013346067434,50,8816.69074178801,715.6042307497579,251.83922497701198,6839.183102876087,0.08116471947439936,0.3519252879669999,0.7757086307293015,1,0.1477290697336448,0.3519252879669999,0.08116471947439936,0.004219720926805602,0,0,0,0.004219720926805602
M115,N84,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,4.3188652684694855,9.745013346067434,50,8816.690741788329,805.6104087898988,277.16195432206086,6686.795314519194,0.09137333182977145,0.3440396887850341,0.7584246187547327,1,0.1477290697336448,0.3440396887850341,0.09137333182977145,0.004644018813486473,0,0,0,0.004644018813486473
M116,N86,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,2.397307387008136,9.745013346067434,50,8816.69074178627,470.2062042255013,214.881317851733,7650.53931125942,0.05333137091868067,0.4569937953193835,0.8677336582761226,1,0.08200116654109255,0.4569937953193835,0.05333137091868067,0.0019985410907312224,0,0,0,0.0019985410907312224
M117,N87,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,2.397307387008136,9.745013346067434,50,8816.690741788141,465.5499283174272,227.1605828770173,7697.612737253643,0.052803250329613756,0.48794032403358417,0.8730727846412435,1,0.08200116654109255,0.48794032403358417,0.052803250329613756,0.0021127465319592306,0,0,0,0.0021127465319592306
M118,N88,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,8.254533291911658,9.745013346067434,50,8816.690741787008,408.20772271069836,30.477931845663356,7106.865813572786,0.046299426243452534,0.07466280070174817,0.8060695358054867,1,0.282350675118803,0.07466280070174817,0.046299426243452534,9.760424727230162e-4,0,0,0,9.760424727230162e-4
M119,N89,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,18.12434174797618,9.745013346067434,50,8816.690741786395,881.1267675004052,397.80831068080033,6829.728788927838,0.0999384909038871,0.45147681962870045,0.7746363107144701,1,0.6199526911641838,0.45147681962870045,0.0999384909038871,0.02797221088919248,0,0,0,0.02797221088919248
M12,N126,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,55.46403106058474,9.745013346067434,50,8816.690741788287,1085.3389749550586,306.2425054209261,6399.540416192384,0.12310049277456221,0.2821630038980282,0.7258438118806431,1,1,0.2821630038980282,0.12310049277456221,0.034734404822597986,0,0,0,0.034734404822597986
M13,N150,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,46.91593714315503,9.745013346067434,50,8816.690741786555,99.90252977320625,23.562770224716257,8614.337233002874,0.01133106884420023,0.2358575931781436,0.9770488140380574,1,1,0.2358575931781436,0.01133106884420023,0.0026725186257289158,0,0,0,0.0026725186257289158
M14,N154,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,6.9528186144752695,9.745013346067434,50,8816.690741785605,2174.35723452684,1928.0803427772962,6416.595080422007,0.24661829457414733,0.8867357728348921,0.7277781730520904,1,0.23782483640828994,0.8867357728348921,0.24661829457414733,0.05200878714389192,0,0,0,0.05200878714389192
M15,N155,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,9.912428053893743,9.745013346067434,50,8816.69074179136,2256.8239700604354,1837.8484146376165,6343.513791878185,0.2559717740084754,0.8143516902598305,0.7194892026562474,1,0.3390598419205473,0.8143516902598305,0.2559717740084754,0.07067737898384649,0,0,0,0.07067737898384649
M16,N156,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,6.9528186144752695,9.745013346067434,50,8816.690741786315,2257.394928937339,1976.6716044668499,6262.1649887577905,0.25603653287264755,0.8756427947666922,0.7102625205031335,1,0.23782483640828994,0.8756427947666922,0.25603653287264755,0.053319506687153594,0,0,0,0.053319506687153594
M17,N158,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,29.27578234164539,9.745013346067434,50,8816.690741787676,1346.3170921897154,665.910878410957,6763.668584600929,0.15270095454394214,0.4946166711200905,0.7671436803996966,1,1,0.4946166711200905,0.15270095454394214,0.07552843781338492,0,0,0,0.07552843781338492
M18,N173,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,27.52834610403507,9.745013346067434,50,8816.690741786948,153.14997077828426,0,8329.740901841371,0.017370459650175293,0,0.9447695451494442,1,0.9416216317153304,0,0.017370459650175293,0,0,0,0,0
M19,N174,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,51.86418897472963,9.745013346067434,50,8816.690741788767,1423.1250175315695,760.7139662982322,6786.398336945664,0.16141260470738025,0.5345376948103276,0.7697217171041218,1,1,0.5345376948103276,0.16141260470738025,0.08628112163361368,0,0,0,0.08628112163361368
M2,C10;C11;C12;C13;C14,5,28,4,1,0,macro_settlement_complex_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,13.395646988145076,9.745013346067434,50,21774.32676853954,3022.507535176983,2096.345304798103,17991.466928527112,0.13881060789186045,0.6935781897646622,0.8262697221262398,0,0.4582051870166958,0.6935781897646622,0.13881060789186045,0,1,0.9,1,0
M20,N179,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,14.975859777044839,9.745013346067434,50,8816.69074178702,687.5171253017753,316.5508657999353,7387.792094957236,0.07797904513575182,0.46042615398269543,0.837932543096077,1,0.5122572008615495,0.46042615398269543,0.07797904513575182,0.018391873458420544,0,0,0,0.018391873458420544
M21,N183,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,4.696653932894323,9.745013346067434,50,8816.69074178742,1799.103447275427,918.7410705279282,6173.7378798097325,0.2040565445659141,0.5106660608756407,0.7002330081227417,1,0.16065153072330549,0.5106660608756407,0.2040565445659141,0.016740652886817423,0,0,0,0.016740652886817423
M22,N184,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,36.80085409638236,9.745013346067434,50,8816.6907417863,302.85053877183674,158.62378396924709,8191.872096136243,0.03434968375793091,0.5237691985377381,0.9291322941964202,1,1,0.5237691985377381,0.03434968375793091,0.017991306331916233,0,0,0,0.017991306331916233
M23,N185,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,7.120331216270414,9.745013346067434,50,8816.690741787887,317.1848167179322,207.6711924186758,8115.288670087498,0.035975495342554356,0.6547324508390788,0.9204461070210845,1,0.24355469351046086,0.6547324508390788,0.035975495342554356,0.005736766220091535,0,0,0,0.005736766220091535
M24,N186,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,7.120331216270414,9.745013346067434,50,8816.690741787832,301.92881577687535,193.20115667600564,8165.160517573837,0.03424514079254761,0.6398897573883138,0.9261026338231436,1,0.24355469351046086,0.6398897573883138,0.03424514079254761,0.005337041967125792,0,0,0,0.005337041967125792
M25,N200,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,53.10163398968844,9.745013346067434,50,8816.690741787672,56.915710128405216,0,8707.902010029822,0.006455450439998646,0,0.9876610471044159,1,1,0,0.006455450439998646,0,0,0,0,0
M26,N206,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,5.765523539632917,9.745013346067434,50,8816.690741787166,733.2533600527814,132.18899476782542,7503.812573925098,0.08316650561162238,0.180277380192721,0.8510917297303382,1,0.19721278069395268,0.180277380192721,0.08316650561162238,0.0029568190604377354,0,0,0,0.0029568190604377354
M27,N207,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,5.765523539632917,9.745013346067434,50,8816.690741787486,712.4389616936496,133.05522200553764,7491.988414793094,0.08080571073191692,0.1867601705684812,0.8497506189350786,1,0.19721278069395268,0.1867601705684812,0.08080571073191692,0.00297619493368363,0,0,0,0.00297619493368363
M28,N21,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,9.585626846573582,9.745013346067434,50,8816.69074178564,1121.9144820175993,472.144506849895,6420.229125216299,0.12724893215324218,0.4208382318060571,0.7281903509202606,1,0.3278814338563503,0.4208382318060571,0.12724893215324218,0.017558449357835806,0,0,0,0.017558449357835806
M29,N223,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,3.2407728905655473,9.745013346067434,50,8816.690741788036,2807.124993687755,1917.1341476645362,5098.851031220747,0.3183875986919857,0.682952897350671,0.5783180084851989,1,0.11085234999954617,0.682952897350671,0.3183875986919857,0.024104148796523596,0,0,0,0.024104148796523596
M3,C15;C16,2,16,2,0,0,macro_settlement_complex_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,18.327334298395982,9.745013346067434,50,18614.920747041368,1306.882667745066,590.720869487605,12239.9982370992,0.07020619026555783,0.45200757808415365,0.6575369513214077,0,0.6268961586660085,0.45200757808415365,0.07020619026555783,0,1,0.9,1,0
M30,N224,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,3.2407728905655473,9.745013346067434,50,8816.69074178904,2704.7030174484803,1881.5849740341307,5306.796256074658,0.30677077110449436,0.6956715624213524,0.6019034138196198,1,0.11085234999954617,0.6956715624213524,0.30677077110449436,0.02365718864413688,0,0,0,0.02365718864413688
M31,N226,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,3.840989698794894,9.745013346067434,50,8816.690741786952,2742.82056282235,1820.8421322513686,5133.83898519768,0.3110941103811973,0.6638575475669215,0.58228638562377,1,0.13138308323764078,0.6638575475669215,0.3110941103811973,0.027133519869349372,0,0,0,0.027133519869349372
M32,N230,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,31.484424904426806,9.745013346067434,50,8816.690741786062,5479.519569791588,4720.96754457644,2566.4143955767613,0.6214939063045282,0.8615659611114411,0.29108590408115687,1,1,0.8615659611114411,0.6214939063045282,0.5354579947101648,0,0,0,0.5354579947101648
M33,N232,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,26.07285985380408,9.745013346067434,50,8816.690741786098,2286.0272295461555,1678.8656204464826,5964.385258785811,0.259284043922703,0.7344031596595582,0.6764879741690403,1,0.891835955063988,0.7344031596595582,0.259284043922703,0.16982252955054472,0,0,0,0.16982252955054472
M34,N239,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,62.74423781534935,9.745013346067434,50,8816.690741787996,404.48075625785646,67.12592116496029,8095.995583872021,0.045876709085503106,0.16595578436410832,0.9182578612517126,1,1,0.16595578436410832,0.045876709085503106,0.007613505240328683,0,0,0,0.007613505240328683
M35,N240,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,111.7649569100549,9.745013346067434,50,8816.690741786619,1210.4570239906066,1094.9138141155854,7161.879267875219,0.13729153709040257,0.9045457975086956,0.8123092300302156,1,1,0.9045457975086956,0.13729153709040257,0.12418648290863285,0,0,0,0.12418648290863285
M36,N241,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,16.037833605404977,9.745013346067434,50,8816.690741788418,4279.562664905594,4024.640702268081,4145.651727941361,0.4853933057469937,0.9404327071249612,0.4702049611757663,1,0.5485825770872166,0.9404327071249612,0.4853933057469937,0.2504168324557201,0,0,0,0.2504168324557201
M37,N242,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,16.037833605404977,9.745013346067434,50,8816.690741787392,3981.1964263980876,3722.113752080738,4354.60148290293,0.4515522368873502,0.9349234133238309,0.493904301561124,1,0.5485825770872166,0.9349234133238309,0.4515522368873502,0.23159332839594104,0,0,0,0.23159332839594104
M38,N243,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,33.03955816339277,9.745013346067434,50,8816.690741787424,3261.8744768644096,3039.6076860860653,5032.126199445719,0.36996584913707925,0.9318591833147405,0.57074999530102,1,1,0.9318591833147405,0.36996584913707925,0.34475607403122316,0,0,0,0.34475607403122316
M39,N244,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,14.688315899661953,9.745013346067434,50,8816.690741787179,4019.1344246692474,2957.47715345025,4197.102305722833,0.4558552117088948,0.7358492752313539,0.4760405495261892,1,0.5024216105217674,0.7358492752313539,0.4558552117088948,0.16853267036749991,0,0,0,0.16853267036749991
M4,C17,1,5,1,0,0,single_dense_micro_cluster,14,4,9.745013346067434,9.745013346067434,5,100,80,20,16.298176570228836,9.745013346067434,50,10463.904686846847,6210.659926990168,6099.443129094582,2757.8559740298606,0.593531775456344,0.9820925957622857,0.2635589731141657,0,0.5574877458327925,0.9820925957622857,0.593531775456344,0,1,0.75,1,0
M40,N245,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,12.952475528482557,9.745013346067434,50,8816.690741787537,2491.756552653487,1861.3469368398114,5743.84788659392,0.2826181189324892,0.7470019231443985,0.6514743518642897,1,0.4430462729504447,0.7470019231443985,0.2826181189324892,0.09353428028569018,0,0,0,0.09353428028569018
M41,N246,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,10.342007093966584,9.745013346067434,50,8816.690741787916,1394.9941006010197,1117.4298442617965,7374.768898161012,0.15822196121604376,0.8010283654822359,0.8364554359616225,1,0.3537538200889198,0.8010283654822359,0.15822196121604376,0.044834857846994904,0,0,0,0.044834857846994904
M42,N247,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,36.34603100753034,9.745013346067434,50,8816.690741787734,2800.346626658364,2125.0168938463025,5759.759194449398,0.31761878789575715,0.7588406640866712,0.653279032137347,1,1,0.7588406640866712,0.31761878789575715,0.2410220519332199,0,0,0,0.2410220519332199
M43,N248,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,10.342007093966584,9.745013346067434,50,8816.690741787734,1130.2051999890539,899.4250597035351,7641.401807467085,0.1281892756691935,0.7958068673832381,0.8666972712618545,1,0.3537538200889198,0.7958068673832381,0.1281892756691935,0.03608780891517524,0,0,0,0.03608780891517524
M44,N249,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,29.630924692874977,9.745013346067434,50,8816.690741787395,1133.458233426011,858.6411238011052,7507.604933600836,0.12855823875662295,0.7575410354607962,0.8515218638687139,1,1,0.7575410354607962,0.12855823875662295,0.09738814130470841,0,0,0,0.09738814130470841
M45,N251,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,10.675912356306364,9.745013346067434,50,8816.690741789123,2866.1675791599628,2072.610376196161,5458.5119816422375,0.3250842819715764,0.7231295166640663,0.6191111995989746,1,0.3651752261107161,0.7231295166640663,0.3250842819715764,0.08584467630008566,0,0,0,0.08584467630008566
M46,N252,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,10.675912356306364,9.745013346067434,50,8816.690741788612,3466.7737949171446,2277.7648748174092,4777.816687889183,0.3932057839440393,0.6570272563375735,0.5419058950592072,1,0.3651752261107161,0.6570272563375735,0.3932057839440393,0.0943418939768498,0,0,0,0.0943418939768498
M47,N253,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,5.018020287257529,9.745013346067434,50,8816.690741789065,5856.505691559896,4039.402933900773,2368.428043875012,0.6642521398421541,0.689729191200507,0.2686300464922982,1,0.17164403676890236,0.689729191200507,0.6642521398421541,0.07863941767001179,0,0,0,0.07863941767001179
M48,N254,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,8.148233543901927,9.745013346067434,50,8816.690741786739,5686.396225463806,3765.1673760634944,2413.9114341156774,0.6449581131969516,0.6621359516248609,0.27378882903025453,1,0.27871463604135266,0.6621359516248609,0.6449581131969516,0.11902507251168992,0,0,0,0.11902507251168992
M49,N255,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,12.780919829022958,9.745013346067434,50,8816.690741785607,4415.326790179405,3235.2059032478364,4193.260013972585,0.5007918412351149,0.7327217343104931,0.47560475203005037,1,0.4371781195552237,0.7327217343104931,0.5007918412351149,0.16041860541310124,0,0,0,0.16041860541310124
M5,C2;C7,2,27,2,0,0,macro_settlement_complex_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,32.10176773561799,9.745013346067434,50,18531.14625006487,647.4849045922853,323.3329624579864,17797.373757000918,0.03494035910433866,0.49936756851742503,0.9604032862747827,0,1,0.49936756851742503,0.03494035910433866,0,1,0.9,1,0
M50,N257,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,8.740718076326491,9.745013346067434,50,8816.690741789444,5492.905792878663,3542.1700826023903,2614.530066263728,0.6230121883308587,0.6448627040344793,0.29654324313218233,1,0.29898088269777406,0.6448627040344793,0.6230121883308587,0.12011775948343698,0,0,0,0.12011775948343698
M51,N258,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,5.018020287257529,9.745013346067434,50,8816.69074178508,6136.608077389081,4210.094669664185,2078.225791248129,0.6960216998772293,0.6860621725504488,0.23571494703775434,1,0.17164403676890236,0.6860621725504488,0.6960216998772293,0.08196245796119302,0,0,0,0.08196245796119302
M52,N261,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,28.96889491622259,9.745013346067434,50,8816.690741789354,4627.046542595221,3156.4621875564935,3645.6098929419245,0.524805358167316,0.6821764506795074,0.4134895960070893,1,0.9908963654015205,0.6821764506795074,0.524805358167316,0.35475066561564433,0,0,0,0.35475066561564433
M53,N262,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,22.066399144610443,9.745013346067434,50,8816.690741786744,5197.371596131975,3584.465865431794,3155.638644633125,0.5894923331606733,0.6896689603836391,0.3579164492723967,1,0.7547928484372047,0.6896689603836391,0.5894923331606733,0.30686447783319953,0,0,0,0.30686447783319953
M54,N267,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,4.442531599112514,9.745013346067434,50,8816.690741789185,4058.782569696192,3051.4689388543843,4290.746684728254,0.4603521534966005,0.751818774830994,0.48666181114769663,1,0.15195914195114235,0.751818774830994,0.4603521534966005,0.052593270561373466,0,0,0,0.052593270561373466
M55,N268,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,4.646356944397604,9.745013346067434,50,8816.690741788016,3911.609670475631,2939.6092315470764,4414.76381027322,0.4436596207164187,0.7515088363071859,0.5007279873557083,1,0.15893109564160232,0.7515088363071859,0.4436596207164187,0.052989872233309025,0,0,0,0.052989872233309025
M56,N269,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,4.442531599112514,9.745013346067434,50,8816.690741787883,4114.140640757418,3090.3808724163814,4209.218607810109,0.46663093458159977,0.751160726446979,0.4774147955377356,1,0.15195914195114235,0.751160726446979,0.46663093458159977,0.05326393308192484,0,0,0,0.05326393308192484
