macro_cluster_id,micro_group_ids,n_micro_groups,n_dwellings,n_dense_micro_groups,n_intermediate_micro_groups,n_small_micro_groups,macro_group_type,selected_eps_m,selected_min_pts,selected_d_adj_m,selected_d_adj_safe_m,macro_hull_buffer_m,macro_link_max_boundary_distance_m,macro_nearest_dwelling_link_m,macro_corridor_width_m,nearest_macro_distance_m,isolation_ring_inner_m,isolation_ring_outer_m,context_area_m2,surveyed_area_m2,absence_area_m2,no_data_area_m2,surveyed_ratio,absence_ratio_in_surveyed,no_data_ratio,small_size_factor,spacing_factor,absence_enclosure_factor,surveyed_coverage_factor,isolation_score,size_support_factor,macro_structure_bonus,cluster_support,isolated_dwelling_weight
M1,C1;C18;C3;C4;C5;C6,6,166,5,1,0,macro_settlement_complex_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,14.316726623119983,9.745013346067434,50,32569.837966951363,4748.852324818016,3348.2834298234366,25842.14434406282,0.1458052179945347,0.7050721312863205,0.7934379154813378,0,0.4897112028720292,0.7050721312863205,0.1458052179945347,0,1,0.9,1,0
M10,N120,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,4.888137721568177,9.745013346067434,50,8816.690741788045,3026.5921477554716,2817.1120293351605,5359.569400148932,0.3432798355295007,0.9307868030465677,0.6078890092794611,1,0.16720133494534986,0.9307868030465677,0.3432798355295007,0.053424227501022395,0,0,0,0.053424227501022395
M100,N353,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,51.86418897472963,9.745013346067434,50,8816.690741789276,873.5737070141147,437.12102774824785,7240.503044385503,0.09908181341481759,0.5003825369725615,0.8212268362853001,1,1,0.5003825369725615,0.09908181341481759,0.049578809164348404,0,0,0,0.049578809164348404
M101,N356,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,3.7462732752456547,9.745013346067434,50,8816.690741787788,2386.2835997653037,738.9633188350572,4448.577826986249,0.2706552457891281,0.30967120542911825,0.5045632150736181,1,0.12814325789704023,0.30967120542911825,0.2706552457891281,0.010740216472958908,0,0,0,0.010740216472958908
M102,N358,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,13.289254990981012,9.745013346067434,50,8816.690741787674,1676.5022829053019,593.9022516763891,5819.815451579319,0.1901509684307441,0.3542507861350381,0.6600906873137407,1,0.4545659925081527,0.3542507861350381,0.1901509684307441,0.030620078938071706,0,0,0,0.030620078938071706
M103,N359,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,13.289254990981012,9.745013346067434,50,8816.690741789094,1905.3399596693257,599.8959916274057,5642.414805750219,0.21610602157547057,0.3148498453428324,0.6399696860190939,1,0.4545659925081527,0.3148498453428324,0.21610602157547057,0.03092910081821006,0,0,0,0.03092910081821006
M104,N361,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,126.32841338694008,9.745013346067434,50,8816.690741787772,28.019502063096066,0,8816.690741787575,0.003178006678888514,0,0.9999999999999777,1,1,0,0.003178006678888514,0,0,0,0,0
M105,N367,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,5.991269625622095,9.745013346067434,50,8816.690741787059,2422.6913660223076,722.3701629025076,4469.845881534426,0.2747846597975661,0.29816846381408046,0.5069754642010309,1,0.20493454490888754,0.29816846381408046,0.2747846597975661,0.01679072170338804,0,0,0,0.01679072170338804
M106,N368,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,3.7462732752456547,9.745013346067434,50,8816.69074178719,2468.340812981308,797.831010545391,4338.557670935172,0.2799622766944145,0.3232256284664985,0.492084592507293,1,0.12814325789704023,0.3232256284664985,0.2799622766944145,0.011595809350328916,0,0,0,0.011595809350328916
M107,N76,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20,4.696653932894323,9.745013346067434,50,8816.690741786306,1842.2750458763494,872.6276001345685,6022.95816085718,0.20895312082854062,0.47366846882489766,0.6831313853747464,1,0.16065153072330549,0.47366846882489766,0.20895312082854062,0.015900405698546706,0,0,0,0.015900405698546706
