macro_cluster_id,micro_group_ids,n_micro_groups,n_shuseki,n_dense_micro_groups,n_intermediate_micro_groups,n_small_micro_groups,macro_group_type,selected_eps_m,selected_min_pts,selected_d_adj_m,selected_d_adj_safe_m,macro_hull_buffer_m,macro_link_max_boundary_distance_m,macro_nearest_shuseki_link_m,macro_corridor_width_m,nearest_macro_distance_m,isolation_ring_inner_m,isolation_ring_outer_m,context_area_m2,surveyed_area_m2,absence_area_m2,no_data_area_m2,surveyed_ratio,absence_ratio_in_surveyed,no_data_ratio,small_size_factor,spacing_factor,absence_enclosure_factor,surveyed_coverage_factor,isolation_score,size_support_factor,macro_structure_bonus,cluster_support,isolated_shuseki_weight
M1,C1,1,20,1,0,0,single_dense_micro_cluster,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156,52.911550661160135,26.71588027676156,80.14764083028467,39077.51361957043,3418.5624028405787,2763.41402088365,33989.195652968236,0.08748157408685608,0.8083555878890649,0.8697891064375725,0,0.6601760215650281,0.8083555878890649,0.08748157408685608,0,1,0.75,1,0
M10,C9,1,4,0,1,0,intermediate_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156,157.2791924517786,26.71588027676156,80.14764083028467,28955.81573457862,1747.1201911767253,690.8924498744225,27231.446883630066,0.06033745369813012,0.39544643428858245,0.9404482724038978,0.8,1,0.39544643428858245,0.06033745369813012,0.0190881847351824,0.2,0,0.19618236305296355,0.0190881847351824
M100,N94,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156,14.115064572659405,26.71588027676156,80.14764083028467,22414.041141630656,1354.3985077601342,958.9456452524964,20971.9961243348,0.060426341649054346,0.7080232588548651,0.935663318890877,1,0.1761132882569623,0.7080232588548651,0.060426341649054346,0.007534699779391281,0,0,0,0.007534699779391281
M101,N95,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156,14.115064572659405,26.71588027676156,80.14764083028467,22414.04114163464,2055.6636467315648,1642.3675403525663,20332.749706690134,0.09171320931115444,0.7989476016486816,0.9071434097139023,1,0.1761132882569623,0.7989476016486816,0.09171320931115444,0.012904533646131042,0,0,0,0.012904533646131042
M102,N96,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156,33.23251017094563,26.71588027676156,80.14764083028467,22414.041141630594,8166.845197819444,7208.698490210993,13570.05353848772,0.36436290743889105,0.882678478114869,0.6054264580287335,1,0.4146411525863449,0.882678478114869,0.36436290743889105,0.13335493727977882,0,0,0,0.13335493727977882
M11,N10,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156,47.48676996239782,26.71588027676156,80.14764083028467,22414.041141632122,3046.208216998753,2023.0946183089277,18319.918480183056,0.1359062472380622,0.6641353690202313,0.8173411641578282,1,0.5924911759156163,0.6641353690202313,0.1359062472380622,0.053478339841359294,0,0,0,0.053478339841359294
M12,N104,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156,33.23251017094563,26.71588027676156,80.14764083028467,22414.041141633243,6757.200896473971,5702.528750170466,14569.730789148234,0.3014717807367063,0.8439187819835501,0.650026949494864,1,0.4146411525863449,0.8439187819835501,0.3014717807367063,0.1054920475378032,0,0,0,0.1054920475378032
M13,N107,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156,36.635516439655866,26.71588027676156,80.14764083028467,22414.041141628702,7847.711103555844,7075.862769688209,13717.78041100834,0.35012477464318575,0.9016466937069197,0.6120172763282233,1,0.45710037201510156,0.9016466937069197,0.35012477464318575,0.1443014886925144,0,0,0,0.1443014886925144
M14,N11,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156,49.89474627218992,26.71588027676156,80.14764083028467,22414.041141634465,1293.5796375378065,461.09720668803755,20017.347860749658,0.05771291438985361,0.3564505758344247,0.8930717907698978,1,0.622535432800121,0.3564505758344247,0.05771291438985361,0.01280667539220606,0,0,0,0.01280667539220606
M15,N110,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156,89.26967059535241,26.71588027676156,80.14764083028467,22414.0411416359,1937.166217954625,1420.6762412943604,19553.198222448962,0.08642645945519309,0.7333785960785516,0.8723638052991395,1,1,0.7333785960785516,0.08642645945519309,0.06338331549928937,0,0,0,0.06338331549928937
M16,N111,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156,3.35624857039584,26.71588027676156,80.14764083028467,22414.041141632522,1258.9983514030416,983.2088823878147,20250.630055401845,0.0561700740820244,0.7809453295090624,0.9034796504316086,1,0.041875824860557145,0.7809453295090624,0.0561700740820244,0.0018369147580326716,0,0,0,0.0018369147580326716
M17,N112,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156,3.35624857039584,26.71588027676156,80.14764083028467,22414.041141627727,1402.994937163249,1093.9510470549935,20055.029099829837,0.06259446604466089,0.7797255842325995,0.8947529351404333,1,0.041875824860557145,0.7797255842325995,0.06259446604466089,0.002043812722705266,0,0,0,0.002043812722705266
M18,N113,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156,73.42253191625882,26.71588027676156,80.14764083028467,22414.041141632235,1203.9911475447607,634.9631924058317,13676.368803057154,0.05371593368357151,0.5273819443778143,0.6101697019576905,1,0.9160909935169957,0.5273819443778143,0.05371593368357151,0.02595177095027953,0,0,0,0.02595177095027953
M19,N114,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156,55.2102734353246,26.71588027676156,80.14764083028467,22414.041141632235,872.5233088397247,303.9037554808852,21453.880525350043,0.03892753222528375,0.34830445490907774,0.9571625388650343,1,0.688857124968085,0.34830445490907774,0.03892753222528375,0.009339960872951332,0,0,0,0.009339960872951332
M2,C10;C11;C14;C15;C2,5,109,3,2,0,macro_settlement_complex_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156,113.37744703382023,26.71588027676156,80.14764083028467,95953.43154246832,21458.840699500695,20281.330244679535,71516.86766426158,0.22363807478842654,0.9451270238075555,0.7453289216926933,0,1,0.9451270238075555,0.22363807478842654,0,1,0.9,1,0
M20,N117,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156,18.490272429851302,26.71588027676156,80.14764083028467,22414.041141633486,1599.667815694655,1252.5677151080704,20089.718501796102,0.07136900506189017,0.7830173882470364,0.8963005990240637,1,0.23070264125434556,0.7830173882470364,0.07136900506189017,0.012892395369463164,0,0,0,0.012892395369463164
M21,N118,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156,18.490272429851302,26.71588027676156,80.14764083028467,22414.041141630798,1878.1221986931178,1510.0421175426227,19659.141480091224,0.08379221697798979,0.8040169689668639,0.8770904521798726,1,0.23070264125434556,0.8040169689668639,0.08379221697798979,0.01554252099035102,0,0,0,0.01554252099035102
