void_id,macro_cluster_id,void_area_m2,void_shuseki_buffer_m,void_context_evaluated,void_context_note,context_area_m2,surveyed_area_m2,absence_area_m2,no_data_area_m2,surveyed_ratio,absence_ratio_in_surveyed,no_data_ratio,void_interpretation
V1,M2,60491.420731259524,13.35794013838078,TRUE,evaluated,60491.42073126023,46375.994852561664,46057.540824751806,11386.991604049,0.7666540856858381,0.9931332140944408,0.1882414310392371,surveyed_absence_internal_void_or_plaza_candidate
V2,M3,7691.873383257417,13.35794013838078,TRUE,evaluated,7691.873383256883,2597.6340683455774,2438.559796017196,4265.7723191166915,0.3377114961356385,0.9387618624706076,0.554581713266643,surveyed_absence_internal_void_or_plaza_candidate
V3,M8,7077.024633931569,13.35794013838078,TRUE,evaluated,7077.024633930693,3003.2734704166082,2866.9398101306933,3744.0244823249377,0.4243695091885729,0.9546049796567467,0.5290393457688795,surveyed_absence_internal_void_or_plaza_candidate
