node_id,grid_id,shuseki_count,dispersed_node_degree,mean_edge_distance_m,dominant_direction_bin,dominant_direction_share,dispersed_node_support,dispersed_node_flag,dense_node_flag
G76534,76534,1,5,36.8169778228074,0,1,0.863660443543852,1,0
G76554,76554,1,5,27.121246595673096,0,0.8,0.8564605062865212,1,0
G81722,81722,1,5,27.121246595673096,0,0.8,0.8564605062865212,1,0
G82633,82633,1,5,27.121246595673096,0,0.8,0.8564605062865212,1,0
G86402,86402,1,5,27.121246595673096,0,0.8,0.8564605062865212,1,0
G103130,103130,1,5,27.121246595673096,0,0.8,0.8564605062865212,1,0
G87769,87769,1,5,30.875750626684674,45,0.8,0.8476445956459848,1,0
G88130,88130,1,5,28.136784030756278,45,0.8,0.8413093657645361,1,0
G88138,88138,1,5,28.136784030756278,45,0.8,0.8413093657645361,1,0
G92225,92225,1,6,36.26253206797603,0,0.8333333333333334,0.8247493586404793,1,0
G83061,83061,1,10,35.810731462204025,0,0.8,0.8237853707559195,1,0
G84728,84728,1,10,35.810731462204025,0,0.8,0.8237853707559195,1,0
G78924,78924,1,5,24.79669127533634,0,0.8,0.8229516126932563,1,0
G78489,78489,2,5,34.57076657157208,0,1,0.8085846685685584,0,1
G74569,74569,1,4,23.8415776431139,135,0.75,0.8018315528622779,1,0
G76017,76017,1,5,30.875750626684674,22.5,0.6,0.7876445956459848,1,0
G90846,90846,1,5,30.875750626684674,22.5,0.6,0.7876445956459848,1,0
G90866,90866,1,5,30.875750626684674,22.5,0.6,0.7876445956459848,1,0
G88131,88131,1,3,24.33521026581923,45,0.6666666666666666,0.7867042053163846,1,0
G88806,88806,1,3,24.33521026581923,45,0.6666666666666666,0.7867042053163846,1,0
G90848,90848,1,5,37.04962209982548,45,0.8,0.7852817279831856,1,0
G79395,79395,1,5,28.136784030756278,22.5,0.6,0.781309365764536,1,0
G83542,83542,1,10,25.03275925283613,0,0.6,0.7676729722432523,1,0
G82202,82202,2,5,36.8169778228074,0,1,0.763660443543852,0,1
G80889,80889,1,9,42.03063159142684,45,1,0.7593873681714634,1,0
G88456,88456,1,10,30.875750626684674,45,0.5,0.757644595645985,1,0
G76014,76014,2,5,27.121246595673096,0,0.8,0.7564605062865212,0,1
G103411,103411,1,15,36.46806529488267,45,0.8,0.7544499534888045,1,0
G88098,88098,1,2,42.42640687119285,45,1,0.751471862576143,1,0
G88804,88804,1,7,26.149228561254183,45,0.5714285714285714,0.7505372034746627,1,0
G89141,89141,1,7,26.149228561254183,45,0.5714285714285714,0.7505372034746627,1,0
G79878,79878,1,5,42.52919965516403,45,1,0.7494160068967195,1,0
G81339,81339,1,5,42.52919965516403,45,1,0.7494160068967195,1,0
G83957,83957,1,10,26.46673765304631,0,0.5,0.7421304892288962,1,0
G78486,78486,1,5,37.05069635283598,0,0.6,0.7389860729432804,1,0
G87766,87766,1,5,27.121246595673096,67.5,0.4,0.7364605062865213,1,0
G91348,91348,1,10,33.903598486627324,22.5,0.6,0.7339505534572843,1,0
G91213,91213,1,10,33.963223489760324,22.5,0.5,0.7333153342946328,1,0
G67735,67735,1,3,21.573786516665265,22.5,0.6666666666666666,0.7314757303333053,1,0
G87765,87765,1,3,21.573786516665265,45,0.6666666666666666,0.7314757303333053,1,0
G87935,87935,1,3,21.573786516665265,45,0.6666666666666666,0.7314757303333053,1,0
G90194,90194,1,3,21.573786516665265,45,0.6666666666666666,0.7314757303333053,1,0
G103109,103109,1,3,21.573786516665265,22.5,0.6666666666666666,0.7314757303333053,1,0
G85933,85933,1,7,25.19201945023994,0,0.42857142857142855,0.7231388084237484,1,0
G87530,87530,1,7,25.19201945023994,0,0.42857142857142855,0.7231388084237484,1,0
G105387,105387,1,7,22.532427192493355,135,0.5714285714285714,0.7220771152784384,1,0
G68231,68231,1,3,20.786893258332633,0,0.6666666666666666,0.7157378651666526,1,0
G72608,72608,1,3,20.786893258332633,90,0.6666666666666666,0.7157378651666526,1,0
G73654,73654,1,3,20.786893258332633,0,0.6666666666666666,0.7157378651666526,1,0
G90189,90189,1,3,20.786893258332633,90,0.6666666666666666,0.7157378651666526,1,0
G105612,105612,1,10,34.162107098451536,135,0.5,0.7156118321005036,1,0
G106215,106215,1,10,34.162107098451536,135,0.5,0.7156118321005036,1,0
G92226,92226,1,7,29.99083888326487,0,0.5714285714285714,0.7136728210489762,1,0
G88797,88797,1,9,24.37219632768192,0,0.4444444444444444,0.7135649194350437,1,0
G88780,88780,1,7,26.149228561254183,22.5,0.42857142857142855,0.7076800606175198,1,0
G88801,88801,1,7,26.149228561254183,22.5,0.42857142857142855,0.7076800606175198,1,0
G75533,75533,1,1,44.721359549995796,45,1,0.7055728090000841,1,0
G76978,76978,1,1,44.721359549995796,45,1,0.7055728090000841,1,0
G88123,88123,1,2,44.721359549995796,45,1,0.7055728090000841,1,0
G89837,89837,1,1,44.721359549995796,22.5,1,0.7055728090000841,1,0
G90161,90161,1,1,44.721359549995796,22.5,1,0.7055728090000841,1,0
G90870,90870,1,31,34.49281514743249,45,0.4838709677419355,0.7048070200672227,1,0
G104471,104471,1,14,32.33826585865584,0,0.42857142857142855,0.704679342248191,1,0
G104685,104685,1,13,33.75485296657143,135,0.46153846153846156,0.7038104822761402,1,0
G88107,88107,2,4,39.814697982617105,45,1,0.7037060403476578,0,1
G99269,99269,1,48,30.509646814712635,135,0.3958333333333333,0.6995870776284259,1,0
G103389,103389,1,24,33.7719418002065,45,0.5,0.6994619704372651,1,0
G81287,81287,1,12,39.30797881308311,45,0.5833333333333334,0.6888404237383379,1,0
G77457,77457,1,8,25.019174652330793,135,0.5,0.6882514586906516,1,0
G113835,113835,1,13,33.29656851775794,45,0.38461538461538464,0.6866045474675535,1,0
G76019,76019,1,5,39.67041294249837,22.5,0.6,0.6865917411500324,1,0
G90857,90857,1,5,39.67041294249837,22.5,0.6,0.6865917411500324,1,0
G98057,98057,1,44,27.899971099813044,135,0.3181818181818182,0.683655388246796,1,0
G101697,101697,1,13,33.29915615409066,0,0.46153846153846156,0.6821551877565247,1,0
G88809,88809,1,9,24.37219632768192,90,0.3333333333333333,0.6802315861017104,1,0
G100789,100789,1,7,22.532427192493355,112.5,0.42857142857142855,0.6792199724212957,1,0
G90850,90850,1,3,41.06775972527618,22.5,0.6666666666666666,0.6786448054944765,1,0
G95198,95198,1,37,30.200311830597016,45,0.32432432432432434,0.6784134952176477,1,0
G95494,95494,1,37,30.200311830597016,45,0.32432432432432434,0.6784134952176477,1,0
G76980,76980,1,5,33.11279179016529,45,0.6,0.6766296023966774,1,0
G77015,77015,1,5,33.11279179016529,45,0.6,0.6766296023966774,1,0
G78000,78000,1,5,33.11279179016529,45,0.6,0.6766296023966774,1,0
G102545,102545,1,5,33.11279179016529,22.5,0.6,0.6766296023966774,1,0
G98919,98919,1,44,33.7680909815801,135,0.4090909090909091,0.6758905187023716,1,0
G104200,104200,1,17,28.327381687407858,135,0.29411764705882354,0.6751629317752628,1,0
G113981,113981,1,9,37.5706675903381,45,0.4444444444444444,0.6742945204041799,1,0
G104449,104449,1,17,32.92627429323106,135,0.4117647058823529,0.6739213424763661,1,0
G104686,104686,1,17,32.92627429323106,135,0.4117647058823529,0.6739213424763661,1,0
G64922,64922,1,2,21.18033988749895,0,0.5,0.6736067977499789,1,0
G65358,65358,1,2,21.18033988749895,0,0.5,0.6736067977499789,1,0
G71689,71689,1,2,21.18033988749895,0,0.5,0.6736067977499789,1,0
G73115,73115,1,2,21.18033988749895,0,0.5,0.6736067977499789,1,0
G73125,73125,1,2,21.18033988749895,90,0.5,0.6736067977499789,1,0
G74622,74622,1,2,21.18033988749895,90,0.5,0.6736067977499789,1,0
G75103,75103,1,6,21.18033988749895,90,0.5,0.6736067977499789,1,0
G77030,77030,1,6,21.18033988749895,0,0.5,0.6736067977499789,1,0
G88133,88133,1,2,21.18033988749895,45,0.5,0.6736067977499789,1,0
G90529,90529,1,2,21.18033988749895,90,0.5,0.6736067977499789,1,0
G90532,90532,1,2,21.18033988749895,45,0.5,0.6736067977499789,1,0
G100511,100511,1,2,21.18033988749895,0,0.5,0.6736067977499789,1,0
G100800,100800,1,6,21.18033988749895,90,0.5,0.6736067977499789,1,0
G101378,101378,1,2,21.18033988749895,0,0.5,0.6736067977499789,1,0
G104697,104697,1,2,21.18033988749895,90,0.5,0.6736067977499789,1,0
G105128,105128,1,2,21.18033988749895,90,0.5,0.6736067977499789,1,0
G105159,105159,1,6,21.18033988749895,0,0.5,0.6736067977499789,1,0
G105799,105799,1,15,38.434918577779676,112.5,0.4666666666666667,0.6667263517709716,1,0
G114479,114479,1,7,33.14955681316198,90,0.42857142857142855,0.6647841767367484,1,0
G91187,91187,1,37,33.73948489554941,0,0.32432432432432434,0.6641413957051366,1,0
G87413,87413,3,5,36.8169778228074,0,1,0.663660443543852,0,1
G104198,104198,1,16,28.73227053805126,0,0.3125,0.6634220651076086,1,0
G112076,112076,1,7,33.0657607669473,45,0.2857142857142857,0.6611374833463208,1,0
G114201,114201,1,7,33.0657607669473,45,0.2857142857142857,0.6611374833463208,1,0
G114975,114975,1,7,33.0657607669473,45,0.2857142857142857,0.6611374833463208,1,0
G91209,91209,1,11,34.19055283318277,0,0.36363636363636365,0.6611368697908824,1,0
G91503,91503,1,11,34.19055283318277,0,0.36363636363636365,0.6611368697908824,1,0
G91356,91356,1,13,37.19766820513836,0,0.38461538461538464,0.6608729204969983,1,0
G103942,103942,1,20,27.204143528789764,0,0.3,0.6579396526140355,1,0
G104221,104221,1,20,27.204143528789764,0,0.3,0.6579396526140355,1,0
G98729,98729,1,46,31.861232797396756,0,0.2608695652173913,0.6567695187650293,1,0
G107709,107709,1,27,36.105808894145795,45,0.48148148148148145,0.6562042822244258,1,0
G104195,104195,1,25,32.019643294339296,135,0.48,0.6550786692291262,1,0
G104451,104451,1,17,31.707901215009475,0,0.35294117647058826,0.6542835524585197,1,0
G92175,92175,1,28,29.60714903167834,45,0.32142857142857145,0.6534044521733313,1,0
G103388,103388,1,18,36.96751767573728,22.5,0.3888888888888889,0.6527145848628582,1,0
G92544,92544,1,10,33.554568157245406,22.5,0.3,0.6509311600449226,1,0
G106055,106055,1,10,32.12545985614821,112.5,0.4,0.6483987642668498,1,0
G76556,76556,1,9,31.452602695831963,45,0.4444444444444444,0.6474873218611199,1,0
G76982,76982,1,9,31.452602695831963,45,0.4444444444444444,0.6474873218611199,1,0
G87779,87779,2,5,29.202252318983078,45,0.6,0.6462741699796951,0,1
G90867,90867,1,35,30.85878419346458,22.5,0.22857142857142856,0.6461913043161882,1,0
G99283,99283,1,34,33.441065379268785,135,0.38235294117647056,0.645814555785021,1,0
G100485,100485,1,34,33.441065379268785,135,0.38235294117647056,0.645814555785021,1,0
G88457,88457,2,9,26.32179278036501,0,0.4444444444444444,0.6453445080367776,0,1
G91505,91505,1,24,29.88650020641711,135,0.2916666666666667,0.6438505790340733,1,0
G105834,105834,1,17,37.11127343515896,90,0.35294117647058826,0.6416450042908439,1,0
G103914,103914,1,36,35.84271771030025,135,0.3888888888888889,0.639824825343901,1,0
G79877,79877,2,5,37.05069635283598,0,0.6,0.6389860729432805,0,1
G100171,100171,1,29,32.843699375215486,135,0.20689655172413793,0.6388982236231102,1,0
G88808,88808,1,5,20.94427190999916,0,0.4,0.6388854381999831,1,0
G100222,100222,1,24,31.031389209822752,135,0.2916666666666667,0.6386943840033934,1,0
G103107,103107,1,4,26.770509831248425,0,0.5,0.6381966011250104,1,0
G103386,103386,1,4,26.770509831248425,0,0.5,0.6381966011250104,1,0
G81338,81338,1,6,43.17543300558891,45,0.6666666666666666,0.6364913398882217,1,0
