group_id,n_shuseki,dbscan_cluster_id,has_noise_point,n_core_points,mean_neighbor_count,group_geom_buffer_m,interim_group_type,selected_eps_m,selected_min_pts,selected_d_adj_m
C1,20,1,FALSE,0,6.9,8.905293425587187,dense_candidate,40,4,26.71588027676156
C10,73,10,FALSE,0,12.027397260273972,8.905293425587187,dense_candidate,40,4,26.71588027676156
C11,9,11,FALSE,0,4.222222222222222,8.905293425587187,dense_candidate,40,4,26.71588027676156
C12,10,12,FALSE,0,8,8.905293425587187,dense_candidate,40,4,26.71588027676156
C13,32,13,FALSE,0,13.625,8.905293425587187,dense_candidate,40,4,26.71588027676156
C14,7,14,FALSE,0,6,8.905293425587187,intermediate_candidate,40,4,26.71588027676156
C15,5,15,FALSE,0,2.4,8.905293425587187,intermediate_candidate,40,4,26.71588027676156
C16,4,16,FALSE,0,2,8.905293425587187,intermediate_candidate,40,4,26.71588027676156
C2,15,2,FALSE,0,6.266666666666667,8.905293425587187,dense_candidate,40,4,26.71588027676156
C3,4,3,FALSE,0,3,8.905293425587187,intermediate_candidate,40,4,26.71588027676156
C4,5,4,FALSE,0,4,8.905293425587187,intermediate_candidate,40,4,26.71588027676156
C5,5,5,FALSE,0,4,8.905293425587187,intermediate_candidate,40,4,26.71588027676156
C6,16,6,FALSE,0,11,8.905293425587187,dense_candidate,40,4,26.71588027676156
C7,7,7,FALSE,0,2.857142857142857,8.905293425587187,intermediate_candidate,40,4,26.71588027676156
C8,4,8,FALSE,0,3,8.905293425587187,intermediate_candidate,40,4,26.71588027676156
C9,4,9,FALSE,0,2,8.905293425587187,intermediate_candidate,40,4,26.71588027676156
N10,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N104,1,0,TRUE,0,2,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N107,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N11,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N110,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N111,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N112,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N113,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N114,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N117,1,0,TRUE,0,2,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N118,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N119,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N120,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N121,1,0,TRUE,0,2,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N122,1,0,TRUE,0,2,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N123,1,0,TRUE,0,2,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N124,1,0,TRUE,0,2,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N125,1,0,TRUE,0,2,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N126,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N127,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N128,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N129,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N131,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N132,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N133,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N134,1,0,TRUE,0,2,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N135,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N136,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N137,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N138,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N140,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N141,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N142,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N143,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N144,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N145,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N146,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N147,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N148,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N149,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N150,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N151,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N152,1,0,TRUE,0,2,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N153,1,0,TRUE,0,2,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N157,1,0,TRUE,0,2,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N17,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N18,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N182,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N19,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N20,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N206,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N207,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N21,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N211,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N212,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N22,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N24,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N259,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N292,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N294,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N296,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N30,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N300,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N304,1,0,TRUE,0,2,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N305,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N307,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N308,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N31,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N32,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N33,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N34,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N35,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N36,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N48,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N49,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N50,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N51,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N52,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N61,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N62,1,0,TRUE,0,2,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N63,1,0,TRUE,0,2,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N65,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N66,1,0,TRUE,0,2,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N67,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
N68,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156
