group_id_1,group_id_2,n_shuseki_1,n_shuseki_2,interim_group_type_1,interim_group_type_2,centroid_distance_m,both_linkable_size,at_least_one_dense,centroid_preselect,pair_size_score_pre,evaluate_pair,evaluate_order,detailed_evaluation_selected,pair_generation_method
C13,N129,32,1,dense_candidate,small_or_isolated_candidate,189.0389908703796,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C13,N126,32,1,dense_candidate,small_or_isolated_candidate,189.3793744145233,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C13,N147,32,1,dense_candidate,small_or_isolated_candidate,193.8953095243985,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C6,N96,16,1,dense_candidate,small_or_isolated_candidate,195.20684467519794,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C10,N150,73,1,dense_candidate,small_or_isolated_candidate,195.69673487460264,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C10,N145,73,1,dense_candidate,small_or_isolated_candidate,196.01260462671829,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C1,N10,20,1,dense_candidate,small_or_isolated_candidate,196.6328027853639,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C13,N134,32,1,dense_candidate,small_or_isolated_candidate,203.40944697664006,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C2,N136,15,1,dense_candidate,small_or_isolated_candidate,203.68913034865434,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C13,N117,32,1,dense_candidate,small_or_isolated_candidate,205.09195811435322,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C1,N20,20,1,dense_candidate,small_or_isolated_candidate,207.24749896170715,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C13,N118,32,1,dense_candidate,small_or_isolated_candidate,211.32611420061795,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C13,N124,32,1,dense_candidate,small_or_isolated_candidate,212.44499782001495,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C10,N136,73,1,dense_candidate,small_or_isolated_candidate,213.62454446863507,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C1,N22,20,1,dense_candidate,small_or_isolated_candidate,213.9214120660711,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C13,N125,32,1,dense_candidate,small_or_isolated_candidate,215.74766557821977,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C1,N49,20,1,dense_candidate,small_or_isolated_candidate,216.15109357820995,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C1,N50,20,1,dense_candidate,small_or_isolated_candidate,218.84615838430818,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C13,N146,32,1,dense_candidate,small_or_isolated_candidate,227.6920408986262,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C13,N148,32,1,dense_candidate,small_or_isolated_candidate,229.12097914533493,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C13,N212,32,1,dense_candidate,small_or_isolated_candidate,245.48410951351897,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C10,N308,73,1,dense_candidate,small_or_isolated_candidate,245.49835352461602,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C2,N18,15,1,dense_candidate,small_or_isolated_candidate,246.83215587541432,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C2,N17,15,1,dense_candidate,small_or_isolated_candidate,251.20807153608766,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C10,N146,73,1,dense_candidate,small_or_isolated_candidate,253.27965115304957,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C10,N121,73,1,dense_candidate,small_or_isolated_candidate,253.33261194610685,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C10,N18,73,1,dense_candidate,small_or_isolated_candidate,254.20323250888907,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C10,N123,73,1,dense_candidate,small_or_isolated_candidate,254.7818891188197,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C10,N122,73,1,dense_candidate,small_or_isolated_candidate,256.84863712806873,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C6,N48,16,1,dense_candidate,small_or_isolated_candidate,258.15232263056225,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C13,N138,32,1,dense_candidate,small_or_isolated_candidate,262.67233698281944,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C10,N17,73,1,dense_candidate,small_or_isolated_candidate,262.7519987705149,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
