group_id,n_shuseki,dbscan_cluster_id,has_noise_point,n_core_points,mean_neighbor_count,group_geom_buffer_m,interim_group_type,selected_eps_m,selected_min_pts,selected_d_adj_m,macro_cluster_id
N182,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M58
N19,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M59
C4,5,4,FALSE,0,4,8.905293425587187,intermediate_candidate,40,4,26.71588027676156,M6
N20,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M60
N206,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M61
N207,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M62
N21,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M63
N211,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M64
N212,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M65
N22,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M66
N24,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M67
N259,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M68
N292,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M69
C5,5,5,FALSE,0,4,8.905293425587187,intermediate_candidate,40,4,26.71588027676156,M7
N294,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M70
N296,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M71
N30,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M72
N300,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M73
N304,1,0,TRUE,0,2,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M74
N305,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M75
N307,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M76
N308,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M77
N31,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M78
N32,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M79
C6,16,6,FALSE,0,11,8.905293425587187,dense_candidate,40,4,26.71588027676156,M8
C7,7,7,FALSE,0,2.857142857142857,8.905293425587187,intermediate_candidate,40,4,26.71588027676156,M8
N33,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M80
N34,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M81
N35,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M82
N36,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M83
N48,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M84
N49,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M85
N50,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M86
N51,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M87
N52,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M88
N61,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M89
C8,4,8,FALSE,0,3,8.905293425587187,intermediate_candidate,40,4,26.71588027676156,M9
N62,1,0,TRUE,0,2,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M90
N63,1,0,TRUE,0,2,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M91
N65,1,0,TRUE,0,1,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M92
N66,1,0,TRUE,0,2,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M93
N67,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M94
N68,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M95
N69,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M96
N71,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M97
N92,1,0,TRUE,0,2,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M98
N93,1,0,TRUE,0,0,8.905293425587187,small_or_isolated_candidate,40,4,26.71588027676156,M99
