macro_cluster_id,micro_group_ids,n_micro_groups,n_shuseki,n_dense_micro_groups,n_intermediate_micro_groups,n_small_micro_groups,macro_group_type,selected_eps_m,selected_min_pts,selected_d_adj_m,selected_d_adj_safe_m,macro_hull_buffer_m,macro_link_max_boundary_distance_m,macro_nearest_shuseki_link_m,macro_corridor_width_m
M1,C1,1,20,1,0,0,single_dense_micro_cluster,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M10,C9,1,4,0,1,0,intermediate_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M100,N94,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M101,N95,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M102,N96,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M11,N10,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M12,N104,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M13,N107,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M14,N11,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M15,N110,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M16,N111,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M17,N112,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M18,N113,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M19,N114,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M2,C10;C11;C14;C15;C2,5,109,3,2,0,macro_settlement_complex_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M20,N117,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M21,N118,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M22,N119,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M23,N120,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M24,N121,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M25,N122,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M26,N123,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M27,N124,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M28,N125,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M29,N126,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M3,C12;C13,2,42,2,0,0,macro_settlement_complex_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M30,N127,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M31,N128,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M32,N129,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M33,N131,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M34,N132,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M35,N133,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M36,N134,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M37,N135,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M38,N136,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M39,N137,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M4,C16,1,4,0,1,0,intermediate_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M40,N138,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M41,N140,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M42,N141,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M43,N142,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M44,N143,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M45,N144,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M46,N145,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M47,N146,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M48,N147,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M49,N148,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M5,C3,1,4,0,1,0,intermediate_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M50,N149,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M51,N150,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M52,N151,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M53,N152,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M54,N153,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M55,N157,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M56,N17,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M57,N18,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
M58,N182,1,1,0,0,1,small_or_isolated_candidate,40,4,26.71588027676156,26.71588027676156,13.35794013838078,106.86352110704624,80.14764083028467,26.71588027676156
