group_id,n_shuseki,interim_group_type,shuseki_component_type,occupied_cell_count,max_cell_shuseki_count,mean_cell_shuseki_count,shuseki_per_occupied_cell,group_dispersed_node_count,group_dispersed_node_support_max,dense_component_strength,dispersed_component_strength
C10,73,dense_candidate,dense,57,3,1.5753424657534247,1.280701754385965,30,0.8476445956459848,1,0.8476445956459848
C13,32,dense_candidate,dense,24,4,1.6875,1.3333333333333333,17,0.7314757303333053,1,0.7314757303333053
C1,20,dense_candidate,dense,16,3,1.5,1.25,13,0.8018315528622779,1,0.8018315528622779
C6,16,dense_candidate,dense,10,4,2.25,1.6,7,0.8564605062865212,1,0.8564605062865212
C2,15,dense_candidate,dense,9,4,2.3333333333333335,1.6666666666666667,4,0.8413093657645361,1,0.8413093657645361
C12,10,dense_candidate,dense,8,2,1.4,1.25,6,0.7220771152784384,0.9833333333333334,0.7220771152784384
C11,9,dense_candidate,dense,7,2,1.4444444444444444,1.2857142857142858,2,0.7076800606175198,0.9907407407407407,0.7076800606175198
C14,7,intermediate_candidate,dense,6,2,1.2857142857142858,1.1666666666666667,5,0.6611368697908824,0.9267857142857143,0.6611368697908824
C7,7,intermediate_candidate,dense,6,2,1.2857142857142858,1.1666666666666667,5,0.8564605062865212,0.9267857142857143,0.8564605062865212
C4,5,intermediate_candidate,dense,3,3,2.2,1.6666666666666667,1,0.6736067977499789,0.8875,0.6736067977499789
C5,5,intermediate_candidate,dense,2,4,3.4,2.5,0,0.2,0.8875,0.2
C16,4,intermediate_candidate,dense,3,2,1.5,1.3333333333333333,2,0.6758905187023716,0.85,0.6758905187023716
C3,4,intermediate_candidate,dense,3,2,1.5,1.3333333333333333,2,0.863660443543852,0.85,0.863660443543852
C8,4,intermediate_candidate,dense,3,2,1.5,1.3333333333333333,1,0.6736067977499789,0.85,0.6736067977499789
C9,4,intermediate_candidate,dense,3,2,1.5,1.3333333333333333,2,0.6562042822244258,0.85,0.6562042822244258
N111,1,small_or_isolated_candidate,dense,1,2,2,1,0,0.5843052769061071,0.7374999999999999,0.5843052769061071
N112,1,small_or_isolated_candidate,dense,1,2,2,1,0,0.5843052769061071,0.7374999999999999,0.5843052769061071
N122,1,small_or_isolated_candidate,dense,1,2,2,1,0,0.4872013889917216,0.7374999999999999,0.4872013889917216
N123,1,small_or_isolated_candidate,dense,1,2,2,1,0,0.4872013889917216,0.7374999999999999,0.4872013889917216
N152,1,small_or_isolated_candidate,dense,1,2,2,1,0,0.539877281195602,0.7374999999999999,0.539877281195602
N153,1,small_or_isolated_candidate,dense,1,2,2,1,0,0.539877281195602,0.7374999999999999,0.539877281195602
N49,1,small_or_isolated_candidate,dense,1,2,2,1,0,0.1,0.7374999999999999,0.1
N50,1,small_or_isolated_candidate,dense,1,2,2,1,0,0.1,0.7374999999999999,0.1
N63,1,small_or_isolated_candidate,dense,1,2,2,1,0,0.1,0.7374999999999999,0.1
N66,1,small_or_isolated_candidate,dense,1,2,2,1,0,0.1,0.7374999999999999,0.1
C15,5,intermediate_candidate,dispersed,5,1,1,1,5,0.7876445956459848,0.5791666666666666,0.7876445956459848
N104,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.6736067977499789,0.42916666666666664,0.6736067977499789
N107,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.6736067977499789,0.42916666666666664,0.6736067977499789
N11,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.8229516126932563,0.42916666666666664,0.8229516126932563
N110,1,small_or_isolated_candidate,dispersed,1,1,1,1,1,0.7231388084237484,0.42916666666666664,0.7231388084237484
