group_id_1,group_id_2,n_dwellings_1,n_dwellings_2,interim_group_type_1,interim_group_type_2,centroid_distance_m,both_linkable_size,at_least_one_dense,centroid_preselect,pair_size_score_pre,evaluate_pair,evaluate_order,detailed_evaluation_selected,pair_generation_method
C3,C4,22,11,dense_candidate,dense_candidate,34.15433467266693,TRUE,TRUE,TRUE,1,TRUE,1,TRUE,all_pairs_combn
C10,C13,7,5,dense_candidate,dense_candidate,39.50769594340975,TRUE,TRUE,TRUE,1,TRUE,2,TRUE,all_pairs_combn
C11,C12,7,5,dense_candidate,dense_candidate,44.3815468948404,TRUE,TRUE,TRUE,1,TRUE,3,TRUE,all_pairs_combn
C8,C9,14,5,dense_candidate,dense_candidate,49.29298308477778,TRUE,TRUE,TRUE,1,TRUE,4,TRUE,all_pairs_combn
C18,C3,13,22,dense_candidate,dense_candidate,52.05025444973804,TRUE,TRUE,TRUE,1,TRUE,5,TRUE,all_pairs_combn
C18,C5,13,6,dense_candidate,dense_candidate,59.15319185133522,TRUE,TRUE,TRUE,1,TRUE,6,TRUE,all_pairs_combn
C10,C14,7,4,dense_candidate,intermediate_candidate,59.98912938451121,TRUE,TRUE,TRUE,1,TRUE,7,TRUE,all_pairs_combn
C1,C18,110,13,dense_candidate,dense_candidate,63.29792836027644,TRUE,TRUE,TRUE,1,TRUE,8,TRUE,all_pairs_combn
C12,C13,5,5,dense_candidate,dense_candidate,67.4384458105133,TRUE,TRUE,TRUE,1,TRUE,9,TRUE,all_pairs_combn
C10,C12,7,5,dense_candidate,dense_candidate,69.90004905349974,TRUE,TRUE,TRUE,1,TRUE,10,TRUE,all_pairs_combn
C1,C5,110,6,dense_candidate,dense_candidate,71.66945451555397,TRUE,TRUE,TRUE,1,TRUE,11,TRUE,all_pairs_combn
C2,C7,17,10,dense_candidate,dense_candidate,81.84941593650689,TRUE,TRUE,TRUE,1,TRUE,12,TRUE,all_pairs_combn
C11,C14,7,4,dense_candidate,intermediate_candidate,83.33984656894926,TRUE,TRUE,TRUE,1,TRUE,13,TRUE,all_pairs_combn
C18,C4,13,11,dense_candidate,dense_candidate,85.70331524499571,TRUE,TRUE,TRUE,1,TRUE,14,TRUE,all_pairs_combn
C15,C16,9,7,dense_candidate,dense_candidate,87.46712816704212,TRUE,TRUE,TRUE,1,TRUE,15,TRUE,all_pairs_combn
C1,C3,110,22,dense_candidate,dense_candidate,92.01134034508087,TRUE,TRUE,TRUE,1,TRUE,16,TRUE,all_pairs_combn
C10,C11,7,7,dense_candidate,dense_candidate,98.56647595029094,TRUE,TRUE,TRUE,1,TRUE,17,TRUE,all_pairs_combn
C11,C13,7,5,dense_candidate,dense_candidate,108.36985754274973,TRUE,TRUE,TRUE,1,TRUE,18,TRUE,all_pairs_combn
C3,C5,22,6,dense_candidate,dense_candidate,111.16446216724013,TRUE,TRUE,TRUE,1,TRUE,19,TRUE,all_pairs_combn
C4,C6,11,4,dense_candidate,intermediate_candidate,113.19709415278898,TRUE,TRUE,TRUE,1,TRUE,20,TRUE,all_pairs_combn
C1,C4,110,11,dense_candidate,dense_candidate,115.37055410614187,TRUE,TRUE,TRUE,1,TRUE,21,TRUE,all_pairs_combn
C3,C6,22,4,dense_candidate,intermediate_candidate,134.9267173415905,TRUE,TRUE,TRUE,1,TRUE,22,TRUE,all_pairs_combn
