group_id_1,group_id_2,n_dwellings_1,n_dwellings_2,interim_group_type_1,interim_group_type_2,centroid_distance_m,both_linkable_size,at_least_one_dense,centroid_preselect,pair_size_score_pre,evaluate_pair,evaluate_order,detailed_evaluation_selected,pair_generation_method
C4,C5,11,6,dense_candidate,dense_candidate,144.51179431895363,TRUE,TRUE,TRUE,1,TRUE,23,TRUE,all_pairs_combn
C1,C6,110,4,dense_candidate,intermediate_candidate,151.201921946554,TRUE,TRUE,TRUE,1,TRUE,24,TRUE,all_pairs_combn
C18,C6,13,4,dense_candidate,intermediate_candidate,168.8402203590648,TRUE,TRUE,TRUE,1,TRUE,25,TRUE,all_pairs_combn
C5,C6,6,4,dense_candidate,intermediate_candidate,214.6148101880379,TRUE,TRUE,TRUE,1,TRUE,26,TRUE,all_pairs_combn
C13,C14,5,4,dense_candidate,intermediate_candidate,36.41529698471164,TRUE,TRUE,TRUE,0.9,TRUE,27,TRUE,all_pairs_combn
C12,C14,5,4,dense_candidate,intermediate_candidate,38.9983238155221,TRUE,TRUE,TRUE,0.9,TRUE,28,TRUE,all_pairs_combn
C15,N297,9,1,dense_candidate,small_or_isolated_candidate,16.92152161917984,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C4,N82,11,1,dense_candidate,small_or_isolated_candidate,22.241141198340625,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C4,N81,11,1,dense_candidate,small_or_isolated_candidate,23.672879933153283,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C18,N356,13,1,dense_candidate,small_or_isolated_candidate,25.683157173917465,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C4,N84,11,1,dense_candidate,small_or_isolated_candidate,26.451195997306314,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C4,N83,11,1,dense_candidate,small_or_isolated_candidate,26.870028383142948,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C8,N230,14,1,dense_candidate,small_or_isolated_candidate,27.399076602235937,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C18,N368,13,1,dense_candidate,small_or_isolated_candidate,27.76522255974605,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C18,N367,13,1,dense_candidate,small_or_isolated_candidate,28.117844572066705,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C15,N346,9,1,dense_candidate,small_or_isolated_candidate,30.127542365846033,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C15,N337,9,1,dense_candidate,small_or_isolated_candidate,31.573663927855723,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C4,N88,11,1,dense_candidate,small_or_isolated_candidate,31.822661110888635,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C2,N206,17,1,dense_candidate,small_or_isolated_candidate,31.833109311317333,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C18,N358,13,1,dense_candidate,small_or_isolated_candidate,32.10805761581273,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C15,N338,9,1,dense_candidate,small_or_isolated_candidate,34.877855598600235,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C18,N103,13,1,dense_candidate,small_or_isolated_candidate,35.62229305228546,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C2,N207,17,1,dense_candidate,small_or_isolated_candidate,37.52128497464184,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C15,N305,9,1,dense_candidate,small_or_isolated_candidate,38.37232529926966,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C18,N359,13,1,dense_candidate,small_or_isolated_candidate,41.021969548523955,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C3,N21,22,1,dense_candidate,small_or_isolated_candidate,42.49378971452424,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C8,N226,14,1,dense_candidate,small_or_isolated_candidate,46.11911156510778,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C3,N100,22,1,dense_candidate,small_or_isolated_candidate,46.19857692255552,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C15,N313,9,1,dense_candidate,small_or_isolated_candidate,47.455471120722414,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C4,N89,11,1,dense_candidate,small_or_isolated_candidate,47.8358058198112,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C8,N223,14,1,dense_candidate,small_or_isolated_candidate,48.048556385214916,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C15,N347,9,1,dense_candidate,small_or_isolated_candidate,49.57666349423187,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C8,N224,14,1,dense_candidate,small_or_isolated_candidate,50.14264896312991,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C4,N86,11,1,dense_candidate,small_or_isolated_candidate,50.146059098647996,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C3,N103,22,1,dense_candidate,small_or_isolated_candidate,51.55480874830019,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C1,N126,110,1,dense_candidate,small_or_isolated_candidate,51.60759312632913,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C3,N79,22,1,dense_candidate,small_or_isolated_candidate,51.81126512819677,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C4,N87,11,1,dense_candidate,small_or_isolated_candidate,52.448423470272594,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C1,N100,110,1,dense_candidate,small_or_isolated_candidate,54.15902644045317,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C8,N239,14,1,dense_candidate,small_or_isolated_candidate,54.402319048555526,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C18,N100,13,1,dense_candidate,small_or_isolated_candidate,54.54794251100326,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C4,N21,11,1,dense_candidate,small_or_isolated_candidate,55.55730302278702,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C1,N367,110,1,dense_candidate,small_or_isolated_candidate,55.97645660262847,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C3,N82,22,1,dense_candidate,small_or_isolated_candidate,56.26641237560614,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C3,N84,22,1,dense_candidate,small_or_isolated_candidate,56.43050782112277,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C4,N80,11,1,dense_candidate,small_or_isolated_candidate,56.75890646479095,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C3,N81,22,1,dense_candidate,small_or_isolated_candidate,56.84806406709591,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C18,N77,13,1,dense_candidate,small_or_isolated_candidate,57.20219781456738,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C8,N232,14,1,dense_candidate,small_or_isolated_candidate,57.69883866249793,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C8,N317,14,1,dense_candidate,small_or_isolated_candidate,57.96503463156631,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C15,N296,9,1,dense_candidate,small_or_isolated_candidate,58.317060992436055,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C3,N83,22,1,dense_candidate,small_or_isolated_candidate,58.41180644157154,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C18,N78,13,1,dense_candidate,small_or_isolated_candidate,58.936312523534504,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C3,N89,22,1,dense_candidate,small_or_isolated_candidate,60.21711316371674,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C1,N356,110,1,dense_candidate,small_or_isolated_candidate,61.32259907708315,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C4,N100,11,1,dense_candidate,small_or_isolated_candidate,62.13336356769292,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C3,N78,22,1,dense_candidate,small_or_isolated_candidate,63.85013023284119,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C15,N336,9,1,dense_candidate,small_or_isolated_candidate,64.26835937226015,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C4,N79,11,1,dense_candidate,small_or_isolated_candidate,64.49692383641161,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C1,N368,110,1,dense_candidate,small_or_isolated_candidate,64.79210075231511,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C3,N88,22,1,dense_candidate,small_or_isolated_candidate,65.09775442307537,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C7,N207,10,1,dense_candidate,small_or_isolated_candidate,66.46359646504399,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C7,N206,10,1,dense_candidate,small_or_isolated_candidate,66.85795079875687,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C4,N173,11,1,dense_candidate,small_or_isolated_candidate,66.99796076687535,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C15,N304,9,1,dense_candidate,small_or_isolated_candidate,67.17100980686348,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C3,N77,22,1,dense_candidate,small_or_isolated_candidate,69.70684292951225,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C18,N179,13,1,dense_candidate,small_or_isolated_candidate,70.1973346116782,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C18,N158,13,1,dense_candidate,small_or_isolated_candidate,70.28190703148417,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C18,N21,13,1,dense_candidate,small_or_isolated_candidate,72.88440809710094,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C3,N358,22,1,dense_candidate,small_or_isolated_candidate,73.33447294001688,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C3,N86,22,1,dense_candidate,small_or_isolated_candidate,73.80191718959338,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C18,N76,13,1,dense_candidate,small_or_isolated_candidate,75.49430475017277,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C3,N87,22,1,dense_candidate,small_or_isolated_candidate,75.6561428466974,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C3,N80,22,1,dense_candidate,small_or_isolated_candidate,75.76774071119699,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C3,N356,22,1,dense_candidate,small_or_isolated_candidate,77.73184910997378,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C18,N79,13,1,dense_candidate,small_or_isolated_candidate,78.16657186672319,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C18,N183,13,1,dense_candidate,small_or_isolated_candidate,79.63838861894995,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C3,N368,22,1,dense_candidate,small_or_isolated_candidate,79.71905909795274,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C3,N367,22,1,dense_candidate,small_or_isolated_candidate,79.73665768331217,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C7,N200,10,1,dense_candidate,small_or_isolated_candidate,81.33379196656132,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C1,N353,110,1,dense_candidate,small_or_isolated_candidate,82.163396930409,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C4,N103,11,1,dense_candidate,small_or_isolated_candidate,83.34248875998178,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C1,N174,110,1,dense_candidate,small_or_isolated_candidate,83.36888419234253,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C3,N179,22,1,dense_candidate,small_or_isolated_candidate,84.3249115819439,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C3,N359,22,1,dense_candidate,small_or_isolated_candidate,86.07535752664023,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C1,N358,110,1,dense_candidate,small_or_isolated_candidate,89.0201847540008,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C4,N78,11,1,dense_candidate,small_or_isolated_candidate,90.5084276104356,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C2,N200,17,1,dense_candidate,small_or_isolated_candidate,90.53795063578781,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C1,N359,110,1,dense_candidate,small_or_isolated_candidate,90.875354361487,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C15,N314,9,1,dense_candidate,small_or_isolated_candidate,94.74382785473496,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C3,N173,22,1,dense_candidate,small_or_isolated_candidate,96.49372302628984,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C15,N315,9,1,dense_candidate,small_or_isolated_candidate,97.08101125436502,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C1,N76,110,1,dense_candidate,small_or_isolated_candidate,97.83122040294529,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C4,N77,11,1,dense_candidate,small_or_isolated_candidate,98.06138098202868,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C1,N103,110,1,dense_candidate,small_or_isolated_candidate,98.81700068201685,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C15,N335,9,1,dense_candidate,small_or_isolated_candidate,99.56218918850885,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C1,N183,110,1,dense_candidate,small_or_isolated_candidate,102.43924804266005,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C18,N84,13,1,dense_candidate,small_or_isolated_candidate,104.45612812755061,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C18,N89,13,1,dense_candidate,small_or_isolated_candidate,105.58221403554512,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C4,N358,11,1,dense_candidate,small_or_isolated_candidate,107.14846616998285,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C18,N83,13,1,dense_candidate,small_or_isolated_candidate,107.30540921563954,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C18,N82,13,1,dense_candidate,small_or_isolated_candidate,107.94422062092613,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C18,N81,13,1,dense_candidate,small_or_isolated_candidate,108.83633137655778,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C4,N356,11,1,dense_candidate,small_or_isolated_candidate,111.2861224843318,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C4,N179,11,1,dense_candidate,small_or_isolated_candidate,111.60726173840649,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C4,N367,11,1,dense_candidate,small_or_isolated_candidate,112.84067741864844,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C4,N368,11,1,dense_candidate,small_or_isolated_candidate,113.46588842771129,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C3,N158,22,1,dense_candidate,small_or_isolated_candidate,113.6206626137087,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C18,N126,13,1,dense_candidate,small_or_isolated_candidate,114.90387146270842,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C1,N158,110,1,dense_candidate,small_or_isolated_candidate,114.92611845183438,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C18,N174,13,1,dense_candidate,small_or_isolated_candidate,115.04700402469861,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C18,N150,13,1,dense_candidate,small_or_isolated_candidate,116.5413566407797,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C18,N88,13,1,dense_candidate,small_or_isolated_candidate,117.09079132549371,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C4,N359,11,1,dense_candidate,small_or_isolated_candidate,120.04352617516264,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C1,N77,110,1,dense_candidate,small_or_isolated_candidate,120.40580007255049,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C4,N154,11,1,dense_candidate,small_or_isolated_candidate,121.07880435955434,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C1,N84,110,1,dense_candidate,small_or_isolated_candidate,121.27113671892847,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C1,N78,110,1,dense_candidate,small_or_isolated_candidate,122.13284036563111,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C18,N80,13,1,dense_candidate,small_or_isolated_candidate,123.05476992583915,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C18,N86,13,1,dense_candidate,small_or_isolated_candidate,123.40842244629117,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C18,N87,13,1,dense_candidate,small_or_isolated_candidate,124.98197660169158,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C1,N83,110,1,dense_candidate,small_or_isolated_candidate,125.38242160295108,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C3,N76,22,1,dense_candidate,small_or_isolated_candidate,126.54666209324954,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C4,N156,11,1,dense_candidate,small_or_isolated_candidate,127.49124228529644,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C4,N155,11,1,dense_candidate,small_or_isolated_candidate,127.86131095283248,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C3,N150,22,1,dense_candidate,small_or_isolated_candidate,128.04927440379723,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C1,N21,110,1,dense_candidate,small_or_isolated_candidate,128.17131384214198,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C3,N183,22,1,dense_candidate,small_or_isolated_candidate,130.4286270773399,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C1,N179,110,1,dense_candidate,small_or_isolated_candidate,132.85141161498774,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C1,N82,110,1,dense_candidate,small_or_isolated_candidate,134.68433393536256,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C1,N79,110,1,dense_candidate,small_or_isolated_candidate,135.52021099667277,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C1,N29,110,1,dense_candidate,small_or_isolated_candidate,136.02801208594585,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C18,N353,13,1,dense_candidate,small_or_isolated_candidate,136.4003442740281,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C3,N126,22,1,dense_candidate,small_or_isolated_candidate,137.9617999651475,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C1,N81,110,1,dense_candidate,small_or_isolated_candidate,137.98942837054594,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C1,N88,110,1,dense_candidate,small_or_isolated_candidate,145.43831921115563,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C3,N154,22,1,dense_candidate,small_or_isolated_candidate,145.65578620350016,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C4,N158,11,1,dense_candidate,small_or_isolated_candidate,147.11898216121782,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C18,N173,13,1,dense_candidate,small_or_isolated_candidate,147.7972357551693,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C4,N150,11,1,dense_candidate,small_or_isolated_candidate,151.13561651463732,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C3,N156,22,1,dense_candidate,small_or_isolated_candidate,151.49501152892086,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C1,N89,110,1,dense_candidate,small_or_isolated_candidate,152.21258555818312,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C2,N184,17,1,dense_candidate,small_or_isolated_candidate,153.11944858727068,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C3,N155,22,1,dense_candidate,small_or_isolated_candidate,153.5613234295885,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C4,N126,11,1,dense_candidate,small_or_isolated_candidate,154.9507693783581,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C4,N76,11,1,dense_candidate,small_or_isolated_candidate,160.6356290750312,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C3,N174,22,1,dense_candidate,small_or_isolated_candidate,162.3657516594137,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C1,N86,110,1,dense_candidate,small_or_isolated_candidate,163.66549195431705,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C4,N183,11,1,dense_candidate,small_or_isolated_candidate,164.55027344238698,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C1,N87,110,1,dense_candidate,small_or_isolated_candidate,165.75411022430947,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C1,N80,110,1,dense_candidate,small_or_isolated_candidate,167.19678774508324,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C1,N154,110,1,dense_candidate,small_or_isolated_candidate,167.77420292541382,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C1,N156,110,1,dense_candidate,small_or_isolated_candidate,170.63185956338447,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C3,N353,22,1,dense_candidate,small_or_isolated_candidate,173.75485813375965,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C4,N120,11,1,dense_candidate,small_or_isolated_candidate,174.2222730132513,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C1,N155,110,1,dense_candidate,small_or_isolated_candidate,177.65004227606607,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C1,N150,110,1,dense_candidate,small_or_isolated_candidate,178.26269692187074,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C4,N119,11,1,dense_candidate,small_or_isolated_candidate,178.3827153651063,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C1,N120,110,1,dense_candidate,small_or_isolated_candidate,180.40162087258383,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
C2,N185,17,1,dense_candidate,small_or_isolated_candidate,180.88266861885063,FALSE,TRUE,TRUE,1,FALSE,NA,FALSE,all_pairs_combn
