eps_m,min_pts,n_points,n_clusters,noise_count,clustered_count,noise_ratio,clustered_ratio,n_dense_clusters,n_intermediate_clusters,n_small_clusters,max_cluster_size,median_cluster_size,core_point_count,core_point_ratio,score_clustered_ratio,score_noise_ratio,score_dense_presence,score_not_overmerged,parameter_score,interpretation
50,5,374,8,37,337,0.09893048128342247,0.9010695187165776,8,0,0,191,22.5,0,0,0.7989304812834224,0.7989304812834225,1,0.5,0.8144117647058822,最大クラスタが大きく、過結合の可能性
35,3,374,11,33,341,0.08823529411764706,0.9117647058823529,8,3,0,189,10,0,0,0.788235294117647,0.7882352941176471,1,0.5,0.8085294117647058,最大クラスタが大きく、過結合の可能性
60,5,374,7,33,341,0.08823529411764706,0.9117647058823529,7,0,0,191,28,0,0,0.788235294117647,0.7882352941176471,1,0.5,0.8085294117647058,最大クラスタが大きく、過結合の可能性
60,4,374,7,29,345,0.07754010695187166,0.9224598930481284,7,0,0,191,28,0,0,0.7775401069518716,0.7775401069518717,1,0.5,0.8026470588235293,最大クラスタが大きく、過結合の可能性
40,3,374,12,27,347,0.07219251336898395,0.9278074866310161,8,4,0,190,8.5,0,0,0.7721925133689839,0.772192513368984,1,0.5,0.799705882352941,最大クラスタが大きく、過結合の可能性
70,4,374,7,27,347,0.07219251336898395,0.9278074866310161,7,0,0,191,29,0,0,0.7721925133689839,0.772192513368984,1,0.5,0.799705882352941,最大クラスタが大きく、過結合の可能性
70,5,374,7,27,347,0.07219251336898395,0.9278074866310161,7,0,0,191,29,0,0,0.7721925133689839,0.772192513368984,1,0.5,0.799705882352941,最大クラスタが大きく、過結合の可能性
45,3,374,12,26,348,0.06951871657754011,0.93048128342246,8,4,0,190,8.5,0,0,0.76951871657754,0.7695187165775401,1,0.5,0.7982352941176469,最大クラスタが大きく、過結合の可能性
50,3,374,12,25,349,0.06684491978609626,0.9331550802139037,8,4,0,191,8.5,0,0,0.7668449197860963,0.7668449197860963,1,0.5,0.7967647058823528,最大クラスタが大きく、過結合の可能性
60,3,374,10,19,355,0.05080213903743316,0.9491978609625669,7,3,0,191,18,0,0,0.7508021390374331,0.7508021390374332,1,0.5,0.7879411764705881,最大クラスタが大きく、過結合の可能性
70,3,374,10,18,356,0.0481283422459893,0.9518716577540107,7,3,0,191,18,0,0,0.7481283422459892,0.7481283422459893,1,0.5,0.786470588235294,ノイズが少なすぎ、孤立点を吸収しすぎる可能性
5,4,374,15,285,89,0.7620320855614974,0.23796791443850268,11,4,0,14,5,0,0,0.5379679144385028,0.5379679144385026,1,1,0.7458823529411766,ノイズが多すぎ、密集範囲を分断しすぎる可能性
5,5,374,5,340,34,0.9090909090909091,0.09090909090909091,5,0,0,14,5,0,0,0.390909090909091,0.3909090909090909,1,1,0.665,ノイズが多すぎ、密集範囲を分断しすぎる可能性
