void_id,macro_cluster_id,void_area_m2,void_dwelling_buffer_m,void_context_evaluated,void_context_note,context_area_m2,surveyed_area_m2,absence_area_m2,no_data_area_m2,surveyed_ratio,absence_ratio_in_surveyed,no_data_ratio,void_interpretation
V1,M1,17092.64799693488,5,TRUE,evaluated,17092.6479969347,2013.29875112086,782.0093115835296,12666.663721239724,0.11778741079099704,0.3884218927509705,0.7410591807373142,no_data_internal_void_unconfirmed
V2,M2,5730.318997567463,5,TRUE,evaluated,5730.318997570288,5396.4101823232595,4312.999647732108,171.617155443524,0.9417294542609915,0.7992349547223035,0.02994897064479157,surveyed_absence_internal_void_or_plaza_candidate
V3,M5,2083.593605725605,5,TRUE,evaluated,2083.593605725092,292.4521190726487,131.97263969897895,1405.9184149110592,0.14035948193979755,0.45126238140266417,0.6747565413178539,no_data_internal_void_unconfirmed
V4,M6,1070.5938045738524,5,TRUE,evaluated,1070.5938045737287,940.1603533302264,768.200994255187,0,0.8781671903141303,0.8170957130175436,0,surveyed_absence_internal_void_or_plaza_candidate
V5,M3,3098.9161265609523,5,TRUE,evaluated,3098.9161265609036,1196.1540298192865,934.1392823136609,1325.850679990157,0.385991095262958,0.7809523347547386,0.4278433574327007,surveyed_absence_internal_void_or_plaza_candidate
