macro_cluster_id,micro_group_ids,n_micro_groups,n_dwellings,n_dense_micro_groups,n_intermediate_micro_groups,n_small_micro_groups,macro_group_type,selected_eps_m,selected_min_pts,selected_d_adj_m,selected_d_adj_safe_m,macro_hull_buffer_m,macro_link_max_boundary_distance_m,macro_nearest_dwelling_link_m,macro_corridor_width_m
M75,N317,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20
M76,N318,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20
M77,N319,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20
M78,N320,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20
M79,N321,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20
M8,N103,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20
M80,N322,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20
M81,N323,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20
M82,N324,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20
M83,N325,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20
M84,N331,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20
M85,N332,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20
M86,N333,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20
M87,N334,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20
M88,N335,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20
M89,N336,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20
M9,N119,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20
M90,N337,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20
M91,N338,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20
M92,N339,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20
M93,N340,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20
M94,N346,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20
M95,N347,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20
M96,N348,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20
M97,N349,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20
M98,N350,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20
M99,N351,1,1,0,0,1,small_or_isolated_candidate,14,4,9.745013346067434,9.745013346067434,5,100,80,20
