group_id,n_dwellings,dbscan_cluster_id,has_noise_point,n_core_points,mean_neighbor_count,group_geom_buffer_m,interim_group_type,selected_eps_m,selected_min_pts,selected_d_adj_m,macro_cluster_id
C1,110,1,FALSE,0,9.7,3.248337782022478,dense_candidate,14,4,9.745013346067434,M1
C18,13,18,FALSE,0,8.153846153846153,3.248337782022478,dense_candidate,14,4,9.745013346067434,M1
C3,22,3,FALSE,0,8.727272727272727,3.248337782022478,dense_candidate,14,4,9.745013346067434,M1
C4,11,4,FALSE,0,3.8181818181818183,3.248337782022478,dense_candidate,14,4,9.745013346067434,M1
C5,6,5,FALSE,0,2.5,3.248337782022478,dense_candidate,14,4,9.745013346067434,M1
C6,4,6,FALSE,0,3,3.248337782022478,intermediate_candidate,14,4,9.745013346067434,M1
N120,1,0,TRUE,0,1,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M10
N353,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M100
N356,1,0,TRUE,0,2,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M101
N358,1,0,TRUE,0,1,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M102
N359,1,0,TRUE,0,1,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M103
N361,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M104
N367,1,0,TRUE,0,2,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M105
N368,1,0,TRUE,0,2,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M106
N76,1,0,TRUE,0,1,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M107
N77,1,0,TRUE,0,1,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M108
N78,1,0,TRUE,0,1,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M109
N121,1,0,TRUE,0,0,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M11
N79,1,0,TRUE,0,1,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M110
N80,1,0,TRUE,0,2,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M111
N81,1,0,TRUE,0,2,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M112
N82,1,0,TRUE,0,2,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M113
N83,1,0,TRUE,0,1,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M114
N84,1,0,TRUE,0,1,3.248337782022478,small_or_isolated_candidate,14,4,9.745013346067434,M115
