statistic,nn1,nn2
min,4.242575883723694e-11,0.4896765092850499
q25,2.7970697402376388,4.242858041755475
median,4.68840330618989,7.856151677143037
mean,10.798373975830486,18.55431926658941
q75,9.496287005726348,14.346776976037802
max,150.96606850569205,285.0379750099251
